,step,adult,child,limited_mobility,elder,employee,run
822,23,1,0,0,0,3,8
823,24,1,0,0,0,3,8
824,25,1,0,0,0,4,8
825,26,1,0,0,0,4,8
826,27,1,0,0,0,4,8
827,28,1,0,0,0,4,8
828,29,1,0,0,0,4,8
829,30,1,0,0,0,4,8
830,31,1,0,0,0,4,8
831,32,1,0,0,0,4,8
832,33,1,0,0,0,4,8
833,34,2,0,0,0,4,8
834,35,2,0,0,0,4,8
835,36,2,0,0,0,4,8
836,37,3,0,0,0,4,8
837,38,3,0,0,0,4,8
838,39,3,0,0,0,4,8
839,40,3,0,0,0,4,8
840,41,3,0,0,0,4,8
841,42,3,0,0,0,4,8
842,43,3,0,0,0,4,8
843,44,3,0,0,0,4,8
844,45,3,0,0,0,4,8
845,46,3,0,0,0,4,8
846,47,3,0,0,0,4,8
847,48,3,0,0,0,4,8
848,49,3,0,0,0,4,8
849,50,3,0,0,0,4,8
850,51,3,0,0,0,4,8
851,52,3,0,0,0,4,8
852,53,3,0,0,0,4,8
853,54,3,0,0,0,4,8
854,55,3,0,0,0,4,8
855,56,3,0,0,0,4,8
856,57,3,0,0,0,4,8
857,58,3,0,0,0,4,8
858,59,3,0,0,0,4,8
859,60,3,0,0,0,4,8
860,61,3,0,0,0,4,8
861,62,3,0,0,0,4,8
862,63,3,0,0,0,4,8
863,64,3,0,0,0,4,8
864,65,3,0,0,0,4,8
865,66,3,1,0,0,4,8
